Date,Open,High,Low,Close
2019-01-06,3.75931,3.8013,3.73016,3.76007
2019-01-13,3.76035,3.76799,3.71814,3.74363
2019-01-20,3.74505,3.7791,3.73447,3.77184
2019-01-27,3.77411,3.80159,3.75458,3.75549
2019-02-03,3.75738,3.76957,3.70769,3.74389
2019-02-10,3.74051,3.81089,3.73615,3.81036
2019-02-17,3.8096,3.85962,3.80346,3.83638
2019-02-24,3.83484,3.84597,3.80893,3.82832
2019-03-03,3.82633,3.82895,3.77195,3.78635
2019-03-10,3.78388,3.85942,3.7823,3.82965
2019-03-17,3.82892,3.8343,3.79214,3.79615
2019-03-24,3.79586,3.8143,3.73963,3.8044
2019-03-31,3.80595,3.83997,3.78722,3.83745
2019-04-07,3.8311,3.84391,3.81008,3.82418
2019-04-14,3.82659,3.8268,3.7757,3.78726
2019-04-21,3.78588,3.81357,3.77465,3.80903
2019-04-28,3.80665,3.86441,3.80148,3.85397
2019-05-05,3.85322,3.85445,3.80045,3.81851
2019-05-12,3.8288,3.84638,3.8174,3.82614
2019-05-19,3.82406,3.86104,3.81939,3.8598
2019-05-26,3.8568,3.87732,3.82712,3.82938
2019-06-02,3.829,3.8633,3.82708,3.83271
2019-06-09,3.8344,3.83702,3.75385,3.7581
2019-06-16,3.76169,3.80048,3.7559,3.79863
2019-06-23,3.79742,3.81286,3.73966,3.74085
2019-06-30,3.7429,3.75664,3.7264,3.7336
2019-07-07,3.73395,3.79638,3.73212,3.78531
2019-07-14,3.78665,3.814,3.78055,3.78923
2019-07-21,3.7884,3.80555,3.7709,3.78882
2019-07-28,3.7885,3.84642,3.78343,3.84215
2019-08-04,3.83961,3.90032,3.8341,3.87836
2019-08-11,3.87706,3.88186,3.8412,3.86102
2019-08-18,3.86039,3.9475,3.85403,3.91169
2019-08-25,3.9103,3.94948,3.90948,3.93141
2019-09-01,3.92546,3.99755,3.91796,3.98041
2019-09-08,3.98315,3.99845,3.9132,3.93645
2019-09-15,3.9331,3.96236,3.89485,3.90672
2019-09-22,3.90331,3.97974,3.90235,3.97133
2019-09-29,3.9714,4.0217,3.96489,4.00709
2019-10-06,4.00372,4.0246,3.9318,3.93331
2019-10-13,3.934,3.95369,3.88878,3.89778
2019-10-20,3.9009,3.9102,3.83463,3.83568
2019-10-27,3.8384,3.8645,3.82636,3.86196
2019-11-03,3.85875,3.86485,3.80549,3.80759
2019-11-10,3.80843,3.87307,3.8043,3.86981
2019-11-17,3.8689,3.90761,3.86593,3.8678
2019-11-24,3.86752,3.90206,3.86521,3.89886
2019-12-01,3.89815,3.93329,3.89363,3.9162
2019-12-08,3.91461,3.91759,3.84555,3.8664
2019-12-15,3.86823,3.87695,3.82138,3.84001
2019-12-22,3.83725,3.85029,3.812,3.84231
2019-12-29,3.84215,3.85565,3.80993,3.81282
2020-01-05,3.81164,3.82615,3.78555,3.80232
2020-01-12,3.80236,3.83174,3.77898,3.80725
2020-01-19,3.81137,3.82602,3.7824,3.82322
2020-01-26,3.82305,3.86538,3.80914,3.86132
2020-02-02,3.8582,3.90374,3.8553,3.87436
2020-02-09,3.87608,3.90619,3.84977,3.90485
2020-02-16,3.90343,3.92559,3.89033,3.92215
2020-02-23,3.92163,3.97202,3.91588,3.95525
2020-03-01,3.96577,3.98267,3.92137,3.92137
2020-03-08,3.91793,3.92626,3.78142,3.80392
2020-03-15,3.78611,3.96587,3.75672,3.94125
2020-03-22,3.91928,4.29943,3.90775,4.2314
2020-03-29,4.24078,4.30796,4.06664,4.07246
2020-04-05,4.0775,4.25195,4.07083,4.2417
2020-04-12,4.24279,4.2515,4.13885,4.16196
2020-04-19,4.16065,4.20598,4.11132,4.15893
2020-04-26,4.15569,4.23135,4.1442,4.19741
2020-05-03,4.19205,4.2057,4.13555,4.1599
2020-05-10,4.16285,4.23567,4.15904,4.19903
2020-05-17,4.20167,4.2414,4.18298,4.2225
2020-05-24,4.22129,4.22715,4.1086,4.139
2020-05-31,4.14396,4.154,3.98822,4.00709
2020-06-07,3.99202,3.99807,3.8881,3.92799
2020-06-14,3.92982,3.97442,3.89201,3.94855
2020-06-21,3.95861,4.00059,3.88991,3.99219
2020-06-28,3.98409,4.00198,3.91365,3.97878
2020-07-05,3.98165,3.98905,3.94544,3.9702
2020-07-12,3.96722,3.97746,3.93096,3.95161
2020-07-19,3.9498,3.9657,3.90292,3.91545
2020-07-26,3.92555,3.9261,3.78257,3.7833
